Date,IBVP
2020-12-17,118401.0
2020-12-18,118024.0
2020-12-21,115823.0
2020-12-22,116636.0
2020-12-23,117807.0
2020-12-28,119124.0
2020-12-29,119409.0
2020-12-30,119017.0
2021-01-04,118855.0
2021-01-05,119376.0
2021-01-06,119100.0
2021-01-07,122386.0
2021-01-08,125077.0
2021-01-11,123255.0
2021-01-12,123998.0
2021-01-13,121933.0
2021-01-14,123481.0
2021-01-15,120349.0
2021-01-18,121242.0
2021-01-19,120636.0
2021-01-20,119646.0
2021-01-21,118329.0
2021-01-22,117380.0
2021-01-26,116464.0
2021-01-27,115882.0
2021-01-28,118883.0
2021-01-29,115068.0
2021-02-01,117518.0
2021-02-02,118234.0
2021-02-03,119725.0
2021-02-04,119261.0
2021-02-05,120240.0
2021-02-08,119696.0
2021-02-09,119472.0
2021-02-10,118435.0
2021-02-11,119300.0
2021-02-12,119429.0
2021-02-17,120356.0
2021-02-18,119199.0
2021-02-19,118431.0
2021-02-22,112668.0
2021-02-23,115227.0
2021-02-24,115668.0
2021-02-25,112256.0
2021-02-26,110035.0
2021-03-01,110335.0
2021-03-02,111540.0
2021-03-03,111184.0
2021-03-04,112690.0
2021-03-05,115202.0
2021-03-08,110612.0
2021-03-09,111331.0
2021-03-10,112776.0
2021-03-11,114984.0
2021-03-12,114160.0
2021-03-15,114851.0
2021-03-16,114019.0
2021-03-17,116549.0
2021-03-18,114835.0
2021-03-19,116222.0
2021-03-22,114979.0
2021-03-23,113262.0
2021-03-24,112064.0
2021-03-25,113750.0
2021-03-26,114781.0
2021-03-29,115419.0
2021-03-30,116850.0
2021-03-31,116634.0
2021-04-01,115253.0
2021-04-05,117518.0
2021-04-06,117499.0
2021-04-07,117624.0
2021-04-08,118313.0
2021-04-09,117670.0
2021-04-12,118812.0
2021-04-13,119297.0
2021-04-14,120295.0
2021-04-15,120701.0
2021-04-16,121114.0
2021-04-19,120934.0
2021-04-20,120062.0
2021-04-22,119371.0
2021-04-23,120530.0
2021-04-26,120595.0
2021-04-27,119388.0
2021-04-28,121053.0
2021-04-29,120066.0
2021-04-30,118894.0
2021-05-03,119209.0
2021-05-04,117712.0
2021-05-05,119564.0
2021-05-06,119921.0
2021-05-07,122038.0
2021-05-10,121909.0
2021-05-11,122964.0
2021-05-12,119710.0
2021-05-13,120706.0
2021-05-14,121881.0
2021-05-17,122938.0
2021-05-18,122980.0
2021-05-19,122636.0
2021-05-20,122701.0
2021-05-21,122592.0
2021-05-24,124032.0
2021-05-25,122988.0
2021-05-26,123989.0
2021-05-27,124367.0
2021-05-28,125561.0
2021-05-31,126216.0
2021-06-01,128267.0
2021-06-02,129601.0
2021-06-04,130126.0
2021-06-07,130776.0
2021-06-08,129787.0
2021-06-09,129907.0
2021-06-10,130076.0
2021-06-11,129441.0
2021-06-14,130208.0
2021-06-15,130091.0
2021-06-16,129259.0
2021-06-17,128057.0
2021-06-18,128405.0
2021-06-21,129265.0
2021-06-22,128767.0
2021-06-23,128428.0
2021-06-24,129514.0
2021-06-25,127256.0
2021-06-28,127429.0
2021-06-29,127327.0
2021-06-30,126802.0
2021-07-01,125666.0
2021-07-02,127622.0
2021-07-05,126920.0
2021-07-06,125095.0
2021-07-07,127019.0
2021-07-08,125428.0
2021-07-12,127594.0
2021-07-13,128168.0
2021-07-14,128407.0
2021-07-15,127468.0
2021-07-16,125960.0
2021-07-19,124395.0
2021-07-20,125401.0
2021-07-21,125929.0
2021-07-22,126147.0
2021-07-23,125053.0
2021-07-26,126004.0
2021-07-27,124612.0
2021-07-28,126286.0
2021-07-29,125675.0
2021-07-30,121801.0
2021-08-02,122516.0
2021-08-03,123577.0
2021-08-04,121801.0
2021-08-05,121633.0
2021-08-06,122810.0
2021-08-09,123019.0
2021-08-10,122202.0
2021-08-11,122056.0
2021-08-12,120701.0
2021-08-13,121194.0
2021-08-16,119180.0
2021-08-17,117904.0
2021-08-18,116643.0
2021-08-19,117165.0
2021-08-20,118053.0
2021-08-23,117472.0
2021-08-24,120211.0
2021-08-25,120818.0
2021-08-26,118724.0
2021-08-27,120678.0
2021-08-30,119740.0
2021-08-31,118781.0
2021-09-01,119396.0
2021-09-02,116677.0
2021-09-03,116933.0
2021-09-06,117869.0
2021-09-08,113413.0
2021-09-09,115361.0
2021-09-10,114286.0
2021-09-13,116404.0
2021-09-14,116181.0
2021-09-15,115063.0
2021-09-16,113794.0
2021-09-17,111439.0
2021-09-20,108844.0
2021-09-21,110250.0
2021-09-22,112282.0
2021-09-23,114064.0
2021-09-24,113283.0
2021-09-27,113583.0
2021-09-28,110124.0
2021-09-29,111107.0
2021-09-30,110979.0
2021-10-01,112900.0
2021-10-04,110393.0
2021-10-05,110458.0
2021-10-06,110560.0
2021-10-07,110585.0
2021-10-08,112833.0
2021-10-11,112180.0
2021-10-13,113456.0
2021-10-14,113185.0
2021-10-15,114648.0
2021-10-18,114428.0
2021-10-19,110673.0
2021-10-20,110786.0
2021-10-21,107735.0
2021-10-22,106296.0
2021-10-25,108715.0
2021-10-26,106420.0
2021-10-27,106363.0
2021-10-28,105705.0
